platform,comment,timestamp,sentiment
R and D , ditulis randi,,netral
You name it, ditulis unemid,,netral
Concern, ditulis konsen,,netral
"dll""",2025-05-02 17:02:07,,netral
tiktok,ada close the doornya berarti aman nih orang,2025-05-02 17:02:19,netral
tiktok,aura professor Money Heistnya kuat banget,2025-05-02 17:02:19,netral
tiktok,"Hoki ... semenjak dikasih polaa jepe. akhirnya bisa merasakan jepe. juga di  𝑺𝑼𝑯𝑼5000 emang super super mantap banget , paling profit , paling mantap dan terg4corrrr. gak pernah kecewa",2025-05-02 17:02:19,positif
tiktok,pahlawan nasional masih bisa ditambah gasi,2025-05-02 17:02:19,netral
tiktok,Kalah buzzer bang video yang bang fer tiru likenya dah banyak,2025-05-02 17:02:19,netral
tiktok,"Kenapa bang ga pake teks bantuan biar ga terlalu mencolok, warga sipil tidak boleh melebihi putra raja.",2025-05-02 17:02:19,netral
tiktok,"mas izin coy scriptnya untuk tugas sekolah, terima kasih mas ferry",2025-05-02 17:02:19,netral
tiktok,Anjas menormalisasikan copy paste keren lu bro,2025-05-02 17:02:19,netral
tiktok,sungguh anda lebih cocok jadi wapres daripada fufufafa,2025-05-02 17:02:19,netral
tiktok,Awas  bang fery kalo merapat ke istana saya langsung unsubscribe.. ,2025-05-02 17:02:19,netral
tiktok,lah iya juga ya 2030 itu 5 tahunn lagi ,2025-05-02 17:02:19,netral
tiktok,Sergio Marquina,2025-05-02 17:02:19,netral
tiktok,bang kok gak keliatan baca naskah nya ,2025-05-02 17:02:19,netral
tiktok,Dislikenya yg di video sebelah di hidden gaess ,2025-05-02 17:02:19,negatif
tiktok,Gw sih klo jadi wapres kena mental dan risegn jdi wapres setelah lihat video ini,2025-05-02 17:02:19,netral
tiktok,"Kalau video yg ono isinya cuma motivasi kek ""kita bisa, masa depan ada di tangan kita, kita harus memanfaatkan situasi sekarang, ayo semangat dan kata2 motivasi2 yg standar, sementara caranya tidak dijabarkan...",2025-05-02 17:02:19,netral
tiktok,"aku udah like divideo ini, yu unlike video mas gibran",2025-05-02 17:02:19,netral
tiktok,bagus bang jadi jester,2025-05-02 17:02:19,netral
tiktok,"Yang sini pinternya alami.
Yg sebelah kayak pakai AI",2025-05-02 17:02:19,netral
tiktok,kok beda ya sama chanel sebelah penjelasan simple langsung paham  wkwkwkwkwk ini kayaknya bang ferry lebih cocok jadi wapres gantiin si ...,2025-05-02 17:02:19,netral
tiktok,Gak berisi,2025-05-02 17:02:31,netral
tiktok,Harusnya elo yg jadi wapres Bang...,2025-05-02 17:02:31,netral
tiktok,china sukses dengan dorongan dan insentif pemerintah.....ada kengerian luar biasa dengan bonus demografi bila pemerintahan dan regulatornya gagal dan tak bisa mempasisilitasi bonus ini.....karena energi bonus ini akan berbelok kearah sebaliknya....,2025-05-02 17:02:31,netral
tiktok,Nengok in.mantap.nengok vidio gibran.enek.matanya kriyap kriyep.kayak baca Teks..gaya nya.kaku.gitu jadi wapres ya,2025-05-02 17:02:31,netral
tiktok,Wapres mines IQ,2025-05-02 17:02:31,netral
tiktok,Meritokrasi sdh punah di Indonesia.,2025-05-02 17:02:31,netral
tiktok,gausah pake tulisan lah kalau banyak yg salah,2025-05-02 17:02:31,netral
tiktok,"Kok bisa lebih pinter dari sebelah, lu bang..? Nggak kayak canel sebelah tatapannya kosong",2025-05-02 17:02:31,netral
tiktok,Sepertinya lebih pantas anda jd wapres bung,2025-05-02 17:02:31,netral
tiktok,"jangankan siap memfasilitasi atau bantu mengembangkan ide anak muda, tiap ada project lemparan pemerintah aja mikir 1000x buat ambil, iya gede duitnya, tapi kalo dibayar taun depan sama aja boong pak xd",2025-05-02 17:02:31,netral
tiktok,Kayaknya elu yg cocok jadi wapres bang,2025-05-02 17:02:31,netral
tiktok,video sebagus ini likenya cuma 79rb?,2025-05-02 17:02:31,netral
tiktok,"keren banget vidio lu bang walaupun kadang gw lihat nih ye,subtitle lu kadang gak sesuai,misalnya RND menjadi randi,GDP menjadi JDP,dan lain lain.tapi kontennya udah keren banget bro,buat gw menjadi paham",2025-05-02 17:02:31,netral
tiktok,Awas bg nanti orang sebelah ngadu ke bapak nya ,2025-05-02 17:02:31,netral
tiktok,Bang generasi gen z gk paham gameshark,2025-05-02 17:02:31,netral
tiktok,Yg salah bukan anak  mudanya bang tapi sistem nya tidak suport untuk menyambut bonus demografi,2025-05-02 17:02:31,netral
tiktok,"Dulu ngutang, sekarang traktir berkat V𝐈𝐂𝐓𝐎𝐑𝐘𝟎𝟎𝟕",2025-05-02 17:02:31,netral
tiktok,Tukar,2025-05-02 17:02:31,netral
tiktok,"Bang Ferry, daging nya 6 menit x 3 !!!",2025-05-02 17:02:31,netral
tiktok,kukira professor nya tokyo,2025-05-02 17:02:31,netral
tiktok,"nutrisari milky orange
kopi kapal api saset
gooday capucinno
cokolatos cokelat
teh tarik maxtea
indomie geprek",2025-05-02 17:02:44,netral
tiktok,"bonus demografi kita, 
adalah bocah tiktod, yang sampe smp masih susah baca :(",2025-05-02 17:02:44,negatif
tiktok,Kalo gitu boleh jadi dexter kah??,2025-05-02 17:02:44,netral
tiktok,seketika kaum 58%  dan pemuja gibran langsung menghilang dari radar!,2025-05-02 17:02:44,netral
tiktok,"subtittlenya pake ai, gak di edit pasti",2025-05-02 17:02:44,netral
tiktok,Kadang segala permaslaahan seperti ditumpuk ke pemimpin..padahal korupsi kesewenangan ada di sektor aparatur yang langsung dengan masyarakat...,2025-05-02 17:02:44,netral
tiktok,Bang udah bang 6 menit aja,2025-05-02 17:02:44,netral
tiktok,Sangat pantek sekali,2025-05-02 17:02:44,netral
tiktok,PEMERINTAH KAYAK SEKARANG MEMANGNYA BISA BANG...???,2025-05-02 17:02:44,netral
tiktok,Disini klw kita mau dis like bisa .. Tpi di akun wapres abal abal gak bisa kita dislike.. Padahal comentnya banyak yg ngebully ,2025-05-02 17:02:44,netral
