platform,komentar,timestamp
tiktok,Sekarang coba yang ini ,2025-05-02 16:57:03
tiktok,"Style bisa dicopy, isi kepala sendiri sendiri ",2025-05-02 16:57:03
tiktok,"Nonton video ini, sambil istirahat kerja jadi kuli bangunan. Saya sarjana dan sekrg jadi kuli bangunan, mimpi saya tentang hidup yang laiak kini harus terkubur diangan2. Ijazah sarjana kini lapuk dimakan rayap, yang tersisa pengetahuan di otak saja. Walau saya pekerja kasar, saya menjaga kewarasan dengan membaca buku dan mengikuti wacana lokal, nasional dan internasional. 

Saya tidak menyesal menjadi sarjana ""muda"" yang tertatih2 mencari pekerjaan. Penyesalan saya adalah hidup di Indonesia yang tidak menghargai rakyatnya. Rakyatnya kini harus hidup dibawah kemiskinan, tidak ada jaminan kehidupan yang laiak. Harus menanggung beban berat hutang negara, pajak negara dan korupsi pejabat negara.

Rasanya cape sekali hidup di negara ini.
 di dunia yang semakin sakit ini. Jaga kesehatan dan tetap kritis di tengah dunia yang semakin kritis ini.",2025-05-02 16:57:03
tiktok,gibran langsung minder melihat bung ferry seraya menyadari ternyata kelihatan orang yang beneran pinter dan orang yang dipaksa pinter,2025-05-02 16:57:03
tiktok,"Kayaknya klo dilihat dari komen2 yang ada, apa yang disampaikan oleh Bang Ferry pada gak paham ini...
Ilustri sederhana:Banyak anak banyak rejeki..(Mis. punya anak 8)
1. Orang tua menghidupi anaknya (2 orang) menghidupi 8 orang
2. Setelah anak2 besar (Bonus demografi) disinilah intinya....
maka yang dilakukan orang tua untuk mencapai bonus demografi:
1. Memastikan anaknya punya kompetensi dan produktif ketika besar
2. Ketika anak2 berhasil (produktif) maka disinilah keberhasilan bonus demografi",2025-05-02 16:57:03
tiktok,"Setelah bandingin video si wapres dengan video Ferry ini, it's crazy to think, kapasitas seorang wapres dan kapasitas seorang sipil aja bisa segini jauhnya. Sangat disayangkan orang dengan inkompetensi yang luar biasa ini berada di jabatan yang begitu strategis. Thanks bro Ferry, you've shown your level and capacity

Edit: Ferry yang kapasitasnya jauh diatas si wapres, bukan sebaliknya",2025-05-02 16:57:03
tiktok,"No prompter, one take.

Point point terkonsep.
Extra ordinary Ferry Irwandi !",2025-05-02 16:57:03
tiktok,"Ketimbang membahas soal editing video wapres yang mirip dengan ferry irwandi, bang ferry justru men challenge pemahaman wapres tentang tema yang wapres bahas sendiri, tanpa editing yang babibu dan hanya dengan one take, omongan bang ferry jauh lebih berisi ketimbang omongan wakil presiden kita",2025-05-02 16:57:03
tiktok,"Lihat Bang Ferry, rasanya masih mungkin Indonesia menuju Indonesia emas,, asal semua lini pemerintahan diisi oleh orang-orang seperti Bang Ferry 🫡🫡🫡🫡🫡",2025-05-02 16:57:03
tiktok,"Fun fact: berpura-pura jadi orang bodoh itu gampang, tapi kalo berpura-pura pinter itu hampir mustahil. Karena pasti ada orang yang pinter beneran akan meng-counter narasi orang yang berpura-pura pintar tersebut.",2025-05-02 16:57:03
tiktok,"""one take, no prompter""
Kelaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasssssssssssssssssssssssssss.",2025-05-02 16:57:03
tiktok,"One shoot, one take

16 menit berbicara serius dengan isi yang sangat kaya tanpa terdistraksi dengan hal lain.
Gua sangat salut dan bangga menjadi penonton Bang Ferry.
Sangat berguna banget menjadi contoh gua kalau lagi presentasi.

Tepuk tangan buat Bang Ferry",2025-05-02 16:57:03
tiktok,Inilah perbedaan nyata ORANG YG LITERASINYA TINGGI dengan ORANG YG TIDAK HOBI MEMBACA...,2025-05-02 16:57:03
tiktok,"Versi Wapres : kosong natural 
Versi Ferry Irwandi : berbobot dan mencerdaskan ",2025-05-02 16:57:03
tiktok,"sedikit cerita bg, dlu saya pernah kerja di pabrik sampah Singapore tahun 2020-2023, karna urusan keluarga saya mengundurkan diri dan kembali ke Indonesia serta membawa niat bisa membangun pabrik serupa, lalu saya ngajukan proposal ke pemerintah setempat dan pusat, tpi tak ada hasil, jadi saya terpaksa minta support ke perusahaan lama saya utk jadi investor, alhamdulillah mereka mau, tpi kendalanya di HGU, yg mana saya tidak memiliki koneksi ke pemerintahan utk HGU, jadi solusi perusahaan nya di buat kecil saja, sampai dapat notice dari pemerintah, tapi ternyata urusan sampah saja sangat sulit di negara kita, bahkan sampai saya perkarakan oleh pemerintah setempat karna perihal sampah ini, al hasil pabriknya hanya berjalan 6 bulan dan disita oleh pemerintahan karna memang ada beberapa ijin yg saya terobos, saya terobos bukan karna tidak taat aturan, tapi utk mendapatkan ijinnya sangat sulit. lekas membaik deh NKRI

edit : njir rame gni, maaf ini yg komen temen saya,, dlu saya pernah kerja di pabrik sampah dia, sayang banget, kalo di support pabriknya pasti pengelolaan sampah indo jadi bagus, karna kata temen saya abu sampahnya bisa buat bahan bangunan, atau di Singapura jadi bahan reklamasi pulau katany.",2025-05-02 16:57:03
tiktok,"Guwa bukan warga jakarta tp guwa angkat jempol buat pemprov DKI yg baru bbrp hari yg lalu ngebuka lowongan kerja 1400 atau 1600, terbagi menjadi dua yaitu untuk petugas PPSU dan Damkar..
Entah memang ada kebutuhan utk para petugas tersebut atau pemprov DKI yg skrg sudah duluan menjalankan bonus demografi yg ada di DKI Jakarta..tp setidaknya apa yg di lakukan pemprov DKI jakarta yg skrg sangat bagus untuk mengurangi tingkat pengangguran di DKI Jakarta walaupun menurut guwa secara tidak langsung ada andil memanfaatkan bonus demografi yg melimpah di DKI Jakarta",2025-05-02 16:57:03
tiktok,"Indonesia negara agraris tapi mirisnya regenerasi petani muda saat ini sangat memperihatinkan bang. Krisis regenerasi petani muda akan menjadi masalah ketahanan pangan di masa depan dan sayang sekali di video mas wapres tidak ada topik tentang petani muda.  Jadi bonus demografi itu akan sia-sia kalau negara kita tidak bisa ""makan"" di masa depan ",2025-05-02 16:57:04
tiktok,"Tanpa editan, soundtrack, etc. tapi lebih berisi dan menarik video ini daripada fufufafa",2025-05-02 16:57:04
tiktok,gausah berharap gibran nonton video ini karena walaupun dia nonton paling dia gk paham dgn apa yv ferry omongin.,2025-05-02 16:57:04
tiktok,"GENIUS, No Cut, Co Edit, No Gimmick, No Prompt tapi lancar banget, emang Public Speaking nya bagus banget",2025-05-02 16:57:04
