platform,komentar,timestamp
youtube,"Terima kasih sudah memberi contoh bahwa sekolah itu penting, nilai itu patut diperjuangkan, dan perlunya berdikari diatas kaki sendiri, bukan dibantu cari kerja mati-matian oleh orangtua.",2025-05-01 19:19:14
youtube,Salut sama editornya kuat ngedit video ini sambil liat muka doi selama berjam jam,2025-05-01 19:19:14
youtube,"dalam satu frame pidatonya saling bertentangan =
1) mendukung animasi.
2) ketinggalan kalau tidak pakai Al.
Dari sini kita bisa simpulkan, pentingnya pendidikan gratis dibanding makan siang gratis.",2025-05-01 19:19:14
youtube,Yang tidak milih beliau saat cawapres mana nya?,2025-05-01 19:19:14
youtube,Siapa yang Kesini cuma mau liat komen² tp skip isi video nya coba cung,2025-05-01 19:19:14
youtube,"Terima kasih, Video ini menginspirasi kami bhw intelektualitas tdk bisa dibeli dgn jabatan dan koneksi ortu kalau dia sendirinya emang kosong dan ga mau upgrade.",2025-05-01 19:19:14
youtube,"Betul kata Prof. Mahfud ;
‘Sangsi Sosial akan melekat seumur hidup’ ",2025-05-01 19:19:14
youtube,Tidak ada yang salah dgn video ini. Yang salah adalah bagaimana dia ada di posisi saat ini...,2025-05-01 19:19:14
youtube,"Gibran Karbit & Perilaku Hipokrit (kopas)

>Mengindoktrinasi anak-anak untuk mendorong pembuatan animasi menggunakan AI untuk perkembangan teknologi.

>Tidak peduli dengan akibat dan nasib animator Indonesia.

>Ada satu film animasi Indonesia yang sukses dan terkenal di mancanegara dan menjadi viral.

>Memutuskan untuk mengoceh dan membuat video tentang beberapa hal buruk tentang sektor animasi kita.

>Blud benar-benar mengatakan “Era baru bagi industri animasi Indonesia”.",2025-05-01 19:19:14
youtube,"udahh yapping nya? Hebat ya, waktu animasi Indonesia masih berjuang dan butuh dukungan, malah sibuk promosiin AI seolah-olah itu satu-satunya masa depan. Tapi begitu animasi lokal tembus internasional, langsung ikut-ikutan bangga, seakan-akan dari awal sudah jadi pahlawan di balik layar. Gaya kayak gini tuh mirip penumpang gelap—datang pas enak, pergi pas susah. Kalau pemimpin cuma muncul pas ada kamera dan tepuk tangan, jangan heran kalau pelaku industri kreatif makin malas berharap. Soalnya, yang dibutuhkan itu teman seperjuangan, bukan penikmat hasil jadi. Btw teks ini kata AI ya, promptnya ""analisis video ini, dan apa pendapat kamu""",2025-05-01 19:19:14
youtube,"""Era baru industri animasi Indonesia"" eh iklan pemerintah pake AI,giliran ada animasi Indonesia yang disini jadi contoh ""JUMBO"" berhasil eh ikut² an ngedukung,kemaren² kemana aja?",2025-05-01 19:19:14
youtube,Salut saya. Baru kali ini ada konten yang isi komentar nya lebih menarik ketimbang isi konten nya...,2025-05-01 19:19:14
youtube,"Kesini gara-gara video terbaru Ferry Irwandi ngemention nih orang karena style videonya mirip sama punya nya, cuman bedanya di video ini lu ngomong kayak orang kelilit pinjol... No expression, no gestures, flat tone of voice and the most boring thing is that it's really obvious that you're reading the prompter. Lu coba cek deh video bang Ferry yang terbaru. Ditutorin tuh cara bikin yang bener bahkan tanpa prompter, long shot, no cut, and no editing gimmicks.",2025-05-01 19:19:14
youtube,Dari video ini kita bisa menyimpulkan bahwa pendidikan gratis lebih penting dari makan siang gratis,2025-05-01 19:19:14
youtube,"Hai para BEM, undang WAPRES ini ke kampus2 utk memberi kuliah umum dan memotivasi para anak muda utk semakin BINGUNG....",2025-05-01 19:19:14
youtube,"Untung saya uda tamat sekolah, bayangkan setiap  masuk kelas ada foto mas gibran di depan dari senin hingga jumat ",2025-05-01 19:19:14
youtube,"Yakin, gw udah ngomong ke murid2 gw biar jangan sampe niru kebiasaan hidup ni orang. Gila, gw nyuruh murid2 buat semangat belajar, tingkatkan literasi, eh si samsul ini dengan santai bilang kalo gk suka baca dan gk punya kebiasaan membaca di rumahnya. Kalo murid gw tanya ""pak, yg gak suka baca aja bisa jadi wapres"" . Skakmat dong gw",2025-05-01 19:19:14
youtube,Gila komentarnya ga ada yang positif. Melihat kolom komentar ini saya merasa ADA HARAPAN UNTUK INDONESIA!,2025-05-01 19:19:14
youtube,Gw tantang ngomong nya langsung di depan kampus tanpa skrip… sebagai Wapres itu harus berkompeten dan mumpuni… jd conto bagi anak muda yang lain nya… silahkan waktu dan tempat agendakan,2025-05-01 19:19:14
youtube,"Awalnya saya tidak tertarik.
Tapi kata org2 videonya kosong.jadi saya tonton. Ternyata benar.. buang2 waktu nonton beliau ini",2025-05-01 19:19:14
youtube,"Kita ga akan kalah sama AI, kita cuman kalah sama pejabat yang curang dan korup.",2025-05-01 19:19:14
youtube,"Yang dibutuhkan bangsa ini adalah  generasi yg cerdas , ikhlas , solusi nyata bukan narasi kosong , mandiri tanpa ikut campur ORDAL . WASSALAM , MERDEKA",2025-05-01 19:19:14
youtube,Video ini sangat ironis. Seorang anak muda berbicara tentang bonus demografi ketika dia sendiri dicarikan jabatan oleh bapaknya dengan mengacak2 MK,2025-05-01 19:19:14
youtube,Saya tidak pernah kwatir masa depan... kecuali semenjak undang 2 MK  diubah demi meloloskan seorang generasi muda yg tidak berani berkata tidak... yaitu seorang anak muda yg menjadi wapres kami.,2025-05-01 19:19:14
youtube,"Animator Jumbo be like: ""Bapak kemana aja, selama ini kita pake anggaran sendiri dan usaha sendiri. Bapak malah bangga banget dengan menyebut industri animasi baru, padahal bapak sendiri support AI dan bahkan mengatakan kalau anak muda tidak pakai AI, akan kalah.""",2025-05-01 19:19:14
youtube,"Kedepan Indonesia harus dipimpin orang orang yang punya kapasitas dan kredibilitas yang benar benar mumpuni.
Bukan pemimpin karbitan hasil mengamgkangi aturan dan mengandalkan kekuasaan orang tuanya atau siapapun.",2025-05-01 19:19:14
youtube,Anda jangan pernah sekali kali berpikir bahwa video anda ini keren atau menginspirasi,2025-05-01 19:19:14
youtube,"Meski byk komen negatif tp mnarik prhatian jg,, lanjut Mas Wapres,, ",2025-05-01 19:19:14
youtube,"mayoritas respon negatif disini membuktikan bahwa : ketika sesuatu diperoleh dengan cara tidak benar,  apapun yg akan disampaikan orang tsb kedepannya tidak akan didengar masyarakat lg.",2025-05-01 19:19:14
youtube,"- kampanye bahasnya AI
- jalan masa jabatan pun masih bahas AI
- ngide buat pake AI untuk ngatasi kemacetan mudik lebaran
- bikin video ucapan idul fitri pake AI, promptnya film Dune *harusnya kena tuntut hak cipta njir
- AI this AI that
- and then animasi ""jumbo"" tayang di bioskop dengan 4 juta penonton
- out of nowhere ""ini menjadi era baru industri animasi indonesia ️""",2025-05-01 19:19:14
youtube,"ayo animator seluruh indonesia bersatu buat film animasi berjudul ""Anak Haram Konstitusi""",2025-05-01 19:19:14
youtube,"Sedikit cerita dulu waktu kuliah saya sering menjadi pembicara di berbagai macam pelatihan manajemen organisasi mahasiswa, membaca ratusan buku sampai mendirikan komunitas literasi dan komunitas filantropi. Setelah lulus kuliah saya mendirikan trading company, setelah lebih dari satu tahun bisnis ini berjalan tiba-tiba ekonomi dunia sedang di gunjang oleh satu orang gila disana. Awalnya saya pikir kebijakan dari orang gila ini gak akan sampe ke Indonesia, eh ternyata sampe juga 32% nya kesini, yang awalnya saya trading ke US ke efeknya juga dan finally saya harus tutup bisnis yg sudah susah payah saya perjuangkan. And Finnaly saya ngerasain jadi jobseeker, ternyata sesulit itu ya jadi jobseeker di negara ini? Kalo bicara soal kapasitas mungkin anak-anak muda di indonesia khususnya dilingkungan pertemanan saya itu sangat kompetitif dan cerdas, konten-konten yg dibicarakan oleh  Pak Wapres adalah topik-topik diskusi yg kami lakuin hampir setiap hari sejak 4-5 tahun lalu, artinya dari dimensi kapasitas intelektual kita engga kalah, kita hanya kalah di kesempatan.",2025-05-01 19:19:14
youtube,Kesini ga liat videonya tp baca komen2nya. Benar2 mewakili publik yg tdk puas dg kinerja wapres saat ini,2025-05-01 19:19:14
youtube,"Dari video ini membuktikan 99% komen negatif 1% komen positif, Bukti nyata dengan ketidakpuasan publik terhadap kinerja wapres kita.",2025-05-01 19:19:14
youtube,"90% komentarnya negatif. Ini bukti, bhw rakyat tidak menyukai gibran sebagai wapres.",2025-05-01 19:19:14
youtube,Setuju mas wapres ...kami mendukung anda.  And amewakiki anak2 mudah..anda calon pemimpin masa depan Indonesia.,2025-05-01 19:19:14
youtube,"Gibran “riding the wave” → dia memakai narasi kesuksesan generasi muda seperti film Jumbo, padahal pemerintah tidak berperan dalam produksinya.

Dukungan Gibran terhadap AI → disampaikan seolah-olah visioner, tapi belum ada implementasi nyata yang dirasakan masyarakat.

Kritik publik dan dislike tinggi di video → muncul karena audiens merasa pesan yang disampaikan tidak tulus, terlalu retoris, dan bahkan terlihat cuma membangun pencitraan.

Dan yang bikin tambah panas:

Jalan Gibran ke kursi wapres penuh kontroversi, termasuk soal putusan MK yang dinilai ""disulap"" agar dia bisa maju, padahal secara usia belum cukup.

Kedekatan keluarga dengan kekuasaan (Jokowi & MK) bikin publik merasa ini bukan regenerasi, tapi dinasti politik.

Jadi, semua kritik dan reaksi keras di kolom komentar atau dislike video itu bukan tanpa alasan. Bukan semata karena “netizen baper”, tapi karena publik merasa nalar, etika, dan keadilan dalam demokrasi sedang dipermainkan.

ChatGpt

.",2025-05-01 19:19:14
youtube,Gue salut ma editornya... Bisa kuat ngedit tanpa muntah sehingga bisa ngehasilin video ini.,2025-05-01 19:19:14
youtube,"Gembar gembor AI, giliran animasi buatan animator lokal hype langsung numpang ambil ketenaran, padahal pemerintah gada ngasih bantuan apapun ke animatornya tapi si sales ai ini kek paling berjasa",2025-05-01 19:19:14
youtube,"Ngmg gini sapa yg dengerin.. ayo lahh, sekali2 dtg ke kampus, diskusi tnp teks.. tuker pikiran sm rakyat, sm mahasiswa.. come on..",2025-05-01 19:19:14
youtube,"Komposisi Isi Video 

90 % = Narasi Normative, General Word with Flat Expression, Footage Self- Narcissistic, dan branding Project APBN/Government 
9,9 % = FOMO, Riding a Wave Film Jumbo dan Timnas U17 to WC
0.1 % = Motivasi Generasi Muda/Bonus Demografi

God Bless for Indonesia futures and peoples.",2025-05-01 19:19:14
youtube,Tolong naikkan gaji editornya. Keren banget deh edit videonya. Ga bosen mengedit yapping orang.,2025-05-01 19:19:14
youtube,Mantan Wapres Kakek Jend Tri Sutrisno sampe bikin wasiat buat Presiden Prabowo melihat anak ini MIRIS ....,2025-05-01 19:19:14
youtube,"Sungguh anda luarrrrrr biasa bpk Wapress....
LUAR BIASA MEMBOSANKAN!!!",2025-05-01 19:19:14
youtube,Sumpah lebih keren adekku yang masih SD presentasi,2025-05-01 19:19:14
youtube,"""dia menciptakan hujan dan bikin orang orang membuat payung, tapi dia neduh dibawah orang yang bikin payung karena hujannya sendiri""",2025-05-01 19:19:14
youtube,Kesini cuma baca komen yg aduhai rata rata negatif ..sampe cape nge like pliss,2025-05-01 19:19:15
youtube,"Gas trs Mas Wapres , Semangat utk anak muda Indonesia sudah saatnya singkirkan perpecahan dan campur tangan asing",2025-05-01 19:19:15
youtube,"Saat ini bukan soal prestasi atau narasi, tapi soal etika dan konstitusi yang dilangkahi demi ambisi pribadi. Demokrasi dilubangi atas nama dinasti, dan sejarah akan mencatat siapa yang diam, siapa yang melawan, dan siapa yang tega menggadaikan masa depan demi kekuasaan.",2025-05-01 19:19:15
youtube,"Udah di counter Ferry Irwandi, monolog, tanpa teks contekan, one shot, informatif, berbobot !!! Makasih… wapres terkocak dalam sejarah indonesia",2025-05-01 19:19:15
youtube,"Dialog dong cil bukan monolog,, tunjukkan kwalitas dirimu sbgai pejabat publik. Gaji mu sangat besar tiap langkahmu ada harga mahal yg dikluarkan oleh rakyat melalui negara.",2025-05-01 19:19:15
youtube,Talking about absolutely nothing for over 6 minutes is a true skill in itself. Bravo!,2025-05-01 19:19:15
youtube,"moggo mas wapres diskusi tentang bonus demografi di kampus2, dimana mereka adalah calon tenaga kerja produktif...ditunggu ya....",2025-05-01 19:19:15
youtube,Jadilah diri sendiri dengan mengundurkan diri secara jantan dan mengakui perbuatan bapaknya yg salah. Dijamin banyak jempol,2025-05-01 19:19:15
youtube,"Untuk ukuran orang yang dicariin kerja sama bapak sampai mengacaukan konstitusi negara, ngomongin masa depan bangsa kayaknya terlalu berlebihan buat Anda",2025-05-01 19:19:15
youtube,"Ke konten ini setelah tonton full konten nya Ferry Irwandi. Ada 2 kebutuhan mendesak yang harus dilakukan:
1. Kebutuhan mendesak klik tombol dislike.
2. Keseruan membaca  comment section nya yg lebih menarik dibanding konten nya.

Thats it!",2025-05-01 19:19:15
youtube,"Mas. Anda inkompeten mas. Mending mundur aja, gausah terlalu ambisius. Apakah worth it jadi orang nomor 2 di negeri ini tapi dapet sumpah serapah dari jutaan rakyat?",2025-05-01 19:19:15
youtube,"Allhamdulillah walaupun yg like video ini buzzer semua, tapi setelah melihat komentar jadi lega ",2025-05-01 19:19:15
youtube,"Berpuluh-puluh tahun pembangunan demokrasi Indonesia, rusak oleh satu keluarga ",2025-05-01 19:19:15
youtube,"Terimakasih, video ini menyatukan kami yg terpisah secara fisik, waktu dan tempat tp secara sudut pandang dan pemikiran kita sama dan bisa berkumpul disini.. sehat2 semua yg masih memikirkan 1 sama lain,  masih peduli dan masih benar2 Cinta dngn Negeri ini",2025-05-01 19:19:15
youtube,"Mas tolong sadar diri, ini Negara bukan mainan  taruhannya nasib anak cucu. Yuk kembali ke solo, berikan jabatannya ke yang lebih mumpuni  saya mohon sebagai salah satu warga negara Indonesia.",2025-05-01 19:19:18
youtube,"Innalilahi wa Inna ilaihi Raji'un, Indonesia punya wapres seperti itu!!!!!!",2025-05-01 19:19:18
youtube,"PUASSSSSS PARAHHHH GW BACA KOMENTAR2 TUAN2 & NYONYA2 SEMUA!!  
mas udah mas tau diri ya tolong!",2025-05-01 19:19:18
youtube,MENYALA WAPRESKUH..... ,2025-05-01 19:19:18
